created_at,full_text,id_str
12/02/2025,yoi,7354250237768188934
12/02/2025,nah cocok ni,7182917032303068187
12/02/2025,ngikut bang,7086561835104863258
12/02/2025,gwe lgi proses nih,7053071596349359106
12/02/2025,🗿sama bang,7390105877553202181
12/02/2025,haha iya sebenernya dah planning dri dlu,7061087963090469914
12/02/2025,"Gw bukan kabur, tapi emang mau ke jepang aja🗿",7451819172222600210
12/02/2025,tapi lebih kepengen sekolah di jepang🗿,7369166792471086086
12/02/2025,💀💀,7221870719502943240
12/02/2025,"omaygat iyakah ,takutnya",6927618351058584578
13/02/2025,"boro boro kerja di luar negri dia
mungkin nyapu aja nggak becus😹😹",6814004321726792705
12/02/2025,"ayo bang, gw ke norwegia",7026603714191148059
